studentID,difNLOC,difCCN,submissions,Window,Total.Time.Spent,atv
10218,0.126582278,0.070422535,0.142857143,0.000540026,0.19303866,496
10219,0.278481013,0.154929577,0.057142857,0.000159985,0.057188623,496
10220,0.316455696,0.23943662,0.028571429,0,0,496
10221,0.025949367,0.011267606,0.542857143,0.815425165,0.561106541,496
10222,0.658227848,0.492957746,0.028571429,0.003489034,0.02324776,496
10223,0.174050633,0.112676056,0.085714286,3.44E-05,0.012294905,496
10226,0.658227848,0.492957746,0.028571429,0.000169311,0.060522101,496
10227,0.12278481,0.087323944,0.257142857,0.000244277,0.087319797,496
10228,0.057537399,0.032010243,0.285714286,0.266014324,0.294558206,496
10230,0.373417722,0.23943662,0.028571429,2.31E-05,0.008268756,496
10231,0.240506329,0.154929577,0.057142857,5.92E-05,0.021169748,496
10232,0.063291139,0.042253521,0.228571429,0.292327226,0.060392225,496
10233,0.658227848,0.492957746,0,1.36E-05,0.004848695,496
10234,0.240506329,0.154929577,0.057142857,7.42E-05,0.026537945,496
10237,1,1,0,1.40E-05,0.005021862,496
10238,0.050632911,0.028169014,0.314285714,0.450211057,0.050478376,496
10240,0.057537399,0.032010243,0.285714286,0.000140608,0.050261916,496
10169,0.186440678,0.244402985,0.068181818,5.36E-05,0.043418226,497
10170,0.186440678,0.104477612,0.045454545,5.85E-05,0.04740718,497
10171,0.593220339,0.328358209,0,0,0,497
10172,0.186440678,0.104477612,0.045454545,5.42E-05,0.04387849,497
10174,0.005649717,0,1,0.115975953,1,497
10175,0.694915254,0.328358209,0,1.61E-05,0.01304081,497
10176,0.593220339,0.328358209,0,1,0.001687634,497
10178,0.898305085,0.328358209,0,2.10E-05,0.017029764,497
10179,0.220338983,0.104477612,0.045454545,0.88367345,0.032985578,497
10181,0.694915254,0.328358209,0,0.000124632,0.100951212,497
10183,0,0.001865672,0.795454545,0.12781728,0.425744093,497
10184,0.101694915,0.048507463,0.113636364,0.00110047,0.098036207,497
10185,0.389830508,0.160447761,0.022727273,2.46E-06,0.001994477,497
10186,0.220338983,0.104477612,0.045454545,2.42E-05,0.019637926,497
10187,0.288135593,0.160447761,0.022727273,0,0,497
10188,0.796610169,0.328358209,0,4.74E-06,0.003835532,497
10189,0.125423729,0.059701493,0.090909091,0.015553948,0.040810064,497
10190,0.694915254,0.328358209,0,3.24E-05,0.026235041,497
10191,0.694915254,0.328358209,0,0.009100948,0.000613685,497
10192,0.105084746,0.093283582,0.204545455,0.016827349,0.084381712,497
10193,0.694915254,0.328358209,0,1.10E-05,0.008898435,497
10195,0.220338983,0.104477612,0.045454545,3.98E-05,0.032218472,497
10196,0.101694915,0.048507463,0.113636364,0.00042693,0.345811599,497
10197,0.023728814,0.014925373,0.318181818,0.145573684,0.158177355,497
10198,0.06440678,0.026119403,0.204545455,0.000730553,0.591745934,497
10199,0.220338983,0.104477612,0.045454545,0.000124632,0.100951212,497
10200,0.084745763,0.034514925,0.159090909,0.000201721,0.163393679,497
10201,0.145762712,0.059701493,0.090909091,6.48E-05,0.052470083,497
10202,0.042372881,0.020522388,0.25,0.03144656,0.233200368,497
10203,0.084745763,0.040511727,0.136363636,0.719392336,0.42420988,497
10204,0.084745763,0.029850746,0.181818182,0.280250627,0.307763118,497
10206,0.288135593,0.160447761,0.022727273,1.84E-05,0.014881866,497
10208,0.105084746,0.059701493,0.090909091,4.36E-05,0.035286898,497
10209,0.288135593,0.160447761,0.022727273,0,0,497
10210,0.062146893,0.029850746,0.181818182,0.013946996,0.111230439,497
